# indicator: Bachelor's degree attainment, age 25+ (%)
# source: U.S. Census Bureau, ACS 1-Year, Table S1501.
#         API: https://api.census.gov/data/YYYY/acs/acs1/subject
# vintage: 2026-08-02 (through 2024 ACS 1-Year; 2020 skipped by Census)
# note: percent of population age 25 and older with a bachelor's degree or
#       higher; national estimate. Cached from Census API; refreshed by
#       scripts/fetch_data.py when CENSUS_API_KEY is set.
year,value
2010,28.2
2011,28.5
2012,29.1
2013,29.6
2014,30.1
2015,30.6
2016,31.3
2017,32.0
2018,32.6
2019,33.1
2021,32.9
2022,33.7
2023,35.0
2024,35.4
