indicator_id,indicator_number,domain,anchor,sign,years_affected,mean_abs_delta_adri,max_abs_delta_adri,mean_signed_delta_adri
overdose_mortality_age_adjusted,4,Health,anchor_low,plus,15,0.552,1.57,0.552
incarceration_rate_per_100k,10,Safety,anchor_high,minus,15,1.136,1.5,-1.136
gini_household_income,8,Opportunity,anchor_high,minus,15,1.424,1.49,-1.424
incarceration_rate_per_100k,10,Safety,anchor_high,plus,15,1.098,1.31,1.098
overdose_mortality_age_adjusted,4,Health,anchor_low,minus,15,0.454,1.29,-0.454
gini_household_income,8,Opportunity,anchor_high,plus,15,1.182,1.25,1.182
overdose_mortality_age_adjusted,4,Health,anchor_high,minus,15,0.6053,0.98,-0.6053
supplemental_poverty_rate,6,Prosperity,anchor_high,minus,15,0.4793,0.93,-0.4793
life_expectancy_at_birth,3,Health,anchor_low,plus,15,0.5927,0.85,-0.5927
overdose_mortality_age_adjusted,4,Health,anchor_high,plus,15,0.5153,0.83,0.5153
naep_g8_composite,1,Education,anchor_low,plus,15,0.5493,0.75,-0.5493
bachelors_attainment_25plus,2,Education,anchor_low,plus,15,0.594,0.75,-0.594
supplemental_poverty_rate,6,Prosperity,anchor_high,plus,15,0.3907,0.75,0.3907
vep_turnout,9,Civic,anchor_high,minus,15,0.5267,0.74,0.5267
vep_turnout,9,Civic,anchor_low,plus,15,0.584,0.73,-0.584
naep_g8_composite,1,Education,anchor_high,minus,15,0.5613,0.7,0.5613
bachelors_attainment_25plus,2,Education,anchor_high,minus,15,0.5173,0.69,0.5173
life_expectancy_at_birth,3,Health,anchor_low,minus,15,0.482,0.69,0.482
incarceration_rate_per_100k,10,Safety,anchor_low,plus,15,0.32,0.68,0.32
prime_age_epop,7,Prosperity,anchor_high,minus,15,0.4873,0.66,0.4873
supplemental_poverty_rate,6,Prosperity,anchor_low,plus,15,0.2853,0.63,0.2853
naep_g8_composite,1,Education,anchor_low,minus,15,0.448,0.62,0.448
bachelors_attainment_25plus,2,Education,anchor_low,minus,15,0.4833,0.61,0.4833
real_median_household_income,5,Prosperity,anchor_high,minus,15,0.392,0.61,0.392
vep_turnout,9,Civic,anchor_high,plus,15,0.434,0.61,-0.434
vep_turnout,9,Civic,anchor_low,minus,15,0.4747,0.6,0.4747
prime_age_epop,7,Prosperity,anchor_low,plus,15,0.2733,0.59,-0.2733
naep_g8_composite,1,Education,anchor_high,plus,15,0.462,0.57,-0.462
bachelors_attainment_25plus,2,Education,anchor_high,plus,15,0.4267,0.56,-0.4267
incarceration_rate_per_100k,10,Safety,anchor_low,minus,15,0.2647,0.56,-0.2647
life_expectancy_at_birth,3,Health,anchor_high,minus,15,0.4453,0.55,0.4453
prime_age_epop,7,Prosperity,anchor_high,plus,15,0.4067,0.55,-0.4067
supplemental_poverty_rate,6,Prosperity,anchor_low,minus,15,0.2387,0.52,-0.2387
real_median_household_income,5,Prosperity,anchor_high,plus,15,0.3227,0.5,-0.3227
prime_age_epop,7,Prosperity,anchor_low,minus,15,0.2207,0.47,0.2207
real_median_household_income,5,Prosperity,anchor_low,plus,15,0.2993,0.46,-0.2993
life_expectancy_at_birth,3,Health,anchor_high,plus,15,0.366,0.44,-0.366
real_median_household_income,5,Prosperity,anchor_low,minus,15,0.242,0.37,0.242
gini_household_income,8,Opportunity,anchor_low,plus,15,0.2173,0.33,0.2173
gini_household_income,8,Opportunity,anchor_low,minus,15,0.182,0.28,-0.182
